year,country_dep,airport_dep,country_arr,airport_arr,passengers,seats
1993,AT,LOWG,AT,LOWW,36.867,
1993,AT,LOWG,CH,LSZH,16.713,
1993,AT,LOWG,DE,EDDF,38.946,
1993,AT,LOWG,DE,EDDM,10.834000000000001,
1993,AT,LOWI,AT,LOWW,47.347,
1993,AT,LOWI,CH,LSZH,18.455,
1993,AT,LOWI,DE,EDDF,30.781999999999996,
1993,AT,LOWI,UK,EGKK,11.741,
1993,AT,LOWK,AT,LOWW,52.04600000000001,
1993,AT,LOWK,CH,LSZH,10.257,
1993,AT,LOWK,DE,EDDF,16.262,
1993,AT,LOWL,AT,LOWW,18.355999999999998,
1993,AT,LOWL,CH,LSZH,20.297,
1993,AT,LOWL,DE,EDDF,33.574,
1993,AT,LOWL,DE,EDDL,10.023,
1993,AT,LOWL,ES,LEPA,7.489,
1993,AT,LOWL,TR,LTAI,12.562999999999999,
1993,AT,LOWS,AT,LOWW,24.301,
1993,AT,LOWS,CH,LSZH,37.921,
1993,AT,LOWS,DE,EDDF,46.451,
1993,AT,LOWS,ES,GCLP,15.649000000000001,
1993,AT,LOWS,ES,GCTS,10.777000000000001,
1993,AT,LOWS,TR,LTAI,13.472000000000001,
1993,AT,LOWS,UK,EGBB,14.665999999999999,
1993,AT,LOWS,UK,EGCC,39.1,
1993,AT,LOWS,UK,EGGD,11.635,
1993,AT,LOWS,UK,EGKK,62.815,
1993,AT,LOWS,UK,EGPF,12.714,
1993,AT,LOWW,AT,LOWG,37.211999999999996,
1993,AT,LOWW,AT,LOWI,45.983999999999995,
1993,AT,LOWW,AT,LOWK,50.485,
1993,AT,LOWW,BE,EBBS,62.729,
1993,AT,LOWW,CH,LSZH,185.13299999999998,
1993,AT,LOWW,DE,EDDF,229.799,
1993,AT,LOWW,DE,EDDH,39.31,
1993,AT,LOWW,DE,EDDL,71.04899999999999,
1993,AT,LOWW,DE,EDDM,100.17,
1993,AT,LOWW,DK,EKCH,78.37100000000001,
1993,AT,LOWW,EL,LGAT,74.94800000000001,
1993,AT,LOWW,EL,LGTS,36.662,
1993,AT,LOWW,ES,LEMD,47.208999999999996,
1993,AT,LOWW,FR,LFPG,159.67600000000002,
1993,AT,LOWW,IL,LLBG,39.084,
1993,AT,LOWW,IT,LIML,48.854,
1993,AT,LOWW,IT,LIRF,59.949,
1993,AT,LOWW,NL,EHAM,154.707,
1993,AT,LOWW,PL,EPWA,50.287,
1993,AT,LOWW,RO,LROP,41.519,
1993,AT,LOWW,RU,UUEE,86.943,
1993,AT,LOWW,SE,ESSA,42.733000000000004,
1993,AT,LOWW,TH,VTBD,44.09,
1993,AT,LOWW,TR,LTAI,57.77,
1993,AT,LOWW,TR,LTBA,100.895,
1993,AT,LOWW,UK,EGGG,231.53,
1993,AT,LOWW,UK,EGKK,93.014,
1993,AT,LOWW,US,KJFK,52.919,
1993,CH,LSGG,AT,LOWW,31.013,
1993,CH,LSGG,BE,EBBR,97.184,
1993,CH,LSGG,CH,LSZA,38.552,
1993,CH,LSGG,CH,LSZH,353.723,
1993,CH,LSGG,CH,LSZM,28.805999999999997,
1993,CH,LSGG,DE,EDDF,98.325,
1993,CH,LSGG,DE,EDDL,26.033,
1993,CH,LSGG,DE,EDDM,24.261,
1993,CH,LSGG,DK,EKCH,52.312,
1993,CH,LSGG,EL,LGAT,43.688,
1993,CH,LSGG,ES,LEBL,60.56100000000001,
1993,CH,LSGG,ES,LEMD,79.438,
1993,CH,LSGG,ES,LEMG,21.534000000000002,
1993,CH,LSGG,FR,LFMN,73.848,
1993,CH,LSGG,FR,LFPG,185.77200000000002,
1993,CH,LSGG,FR,LFPS,124.49700000000001,
1993,CH,LSGG,IT,LIRR,70.403,
1993,CH,LSGG,MA,GMMC,21.375999999999998,
1993,CH,LSGG,NL,EHAM,111.527,
1993,CH,LSGG,PT,LPPR,41.63399999999999,
1993,CH,LSGG,PT,LPPT,52.553999999999995,
1993,CH,LSGG,SE,ESSA,26.535999999999998,
1993,CH,LSGG,TN,DTTA,25.596,
1993,CH,LSGG,UK,EGCC,40.381,
1993,CH,LSGG,UK,EGGA,173.642,
1993,CH,LSGG,UK,EGKK,148.531,
1993,CH,LSGG,UK,EGLL,184.0,
1993,CH,LSGG,US,KNYC,52.476000000000006,
1993,CH,LSZA,CH,LSGG,37.32,
1993,CH,LSZA,CH,LSZB,14.275,
1993,CH,LSZA,CH,LSZH,73.832,
1993,CH,LSZA,IT,LIPZ,13.335999999999999,
1993,CH,LSZA,IT,LIRQ,11.946,
1993,CH,LSZH,AE,OMDB,36.109,
1993,CH,LSZH,AT,LOWW,180.227,
1993,CH,LSZH,BE,EBBR,88.27799999999999,
1993,CH,LSZH,CA,CY90,57.041000000000004,
1993,CH,LSZH,CH,LSGG,382.176,
1993,CH,LSZH,CH,LSZA,65.877,
1993,CH,LSZH,CH,LSZM,100.23299999999999,
1993,CH,LSZH,CY,LCLK,70.128,
1993,CH,LSZH,CZ,LKPR,65.096,
1993,CH,LSZH,DE,EDBA,65.24,
1993,CH,LSZH,DE,EDDF,193.088,
1993,CH,LSZH,DE,EDDH,56.226000000000006,
1993,CH,LSZH,DE,EDDL,110.85,
1993,CH,LSZH,DE,EDDM,94.291,
1993,CH,LSZH,DE,EDDS,41.895,
1993,CH,LSZH,DE,EDVV,39.757,
1993,CH,LSZH,DK,EKCH,102.245,
1993,CH,LSZH,EL,LGAT,87.774,
1993,CH,LSZH,EL,LGIR,39.108000000000004,
1993,CH,LSZH,ES,GCLP,61.126000000000005,
1993,CH,LSZH,ES,LEBL,64.972,
1993,CH,LSZH,ES,LEMD,91.565,
1993,CH,LSZH,ES,LEMG,48.013000000000005,
1993,CH,LSZH,ES,LEPA,120.471,
1993,CH,LSZH,FI,EFHK,45.707,
1993,CH,LSZH,FR,LFMN,40.669000000000004,
1993,CH,LSZH,FR,LFPG,146.862,
1993,CH,LSZH,FR,LFPS,122.363,
1993,CH,LSZH,HK,VHHH,45.417,
1993,CH,LSZH,HU,LHBP,96.889,
1993,CH,LSZH,IL,LLBG,107.25,
1993,CH,LSZH,IN,VAJJ,40.541,
